47,0.0135,0.0160,-0.0018,0.0357,0.0072,0.0486,0.0514,-0.0032,0.0692,0.0657
47.25,0.0114,0.0142,-0.0021,0.0327,0.0032,0.0465,0.0495,-0.0034,0.0665,0.0609
47.5,0.0093,0.0123,-0.0023,0.0298,-0.0009,0.0445,0.0477,-0.0036,0.0639,0.0560
47.75,0.0072,0.0105,-0.0026,0.0268,-0.0051,0.0424,0.0458,-0.0038,0.0612,0.0510
48,0.0050,0.0086,-0.0029,0.0238,-0.0094,0.0403,0.0439,-0.0040,0.0584,0.0460
48.25,0.0029,0.0068,-0.0032,0.0207,-0.0137,0.0382,0.0420,-0.0041,0.0557,0.0409
48.5,0.0007,0.0049,-0.0035,0.0176,-0.0180,0.0361,0.0401,-0.0043,0.0529,0.0358
48.75,-0.0015,0.0030,-0.0038,0.0145,-0.0225,0.0339,0.0381,-0.0045,0.0501,0.0306
49,-0.0036,0.0011,-0.0041,0.0114,-0.0270,0.0318,0.0362,-0.0046,0.0472,0.0254
49.25,-0.0058,-0.0008,-0.0044,0.0082,-0.0315,0.0297,0.0342,-0.0048,0.0443,0.0201
49.5,-0.0080,-0.0028,-0.0047,0.0050,-0.0362,0.0275,0.0323,-0.0049,0.0414,0.0148
49.75,-0.0103,-0.0047,-0.0050,0.0018,-0.0409,0.0254,0.0303,-0.0051,0.0385,0.0095
50,-0.0125,-0.0066,-0.0053,-0.0015,-0.0457,0.0232,0.0283,-0.0052,0.0356,0.0041
50.25,-0.0147,-0.0086,-0.0057,-0.0048,-0.0505,0.0210,0.0263,-0.0054,0.0326,-0.0013
50.5,-0.0170,-0.0106,-0.0060,-0.0081,-0.0555,0.0188,0.0243,-0.0055,0.0296,-0.0068
50.75,-0.0193,-0.0126,-0.0063,-0.0115,-0.0604,0.0166,0.0223,-0.0056,0.0265,-0.0123
51,-0.0216,-0.0145,-0.0066,-0.0148,-0.0655,0.0144,0.0202,-0.0058,0.0235,-0.0178
51.25,-0.0239,-0.0165,-0.0069,-0.0183,-0.0706,0.0122,0.0182,-0.0059,0.0204,-0.0234
51.5,-0.0262,-0.0186,-0.0072,-0.0217,-0.0758,0.0099,0.0161,-0.0060,0.0173,-0.0290
51.75,-0.0285,-0.0206,-0.0076,-0.0252,-0.0811,0.0077,0.0140,-0.0061,0.0141,-0.0346
52,-0.0309,-0.0226,-0.0079,-0.0287,-0.0864,0.0054,0.0119,-0.0063,0.0110,-0.0403
52.25,-0.0332,-0.0246,-0.0082,-0.0322,-0.0917,0.0032,0.0098,-0.0064,0.0078,-0.0461
52.5,-0.0356,-0.0267,-0.0086,-0.0358,-0.0972,0.0009,0.0077,-0.0065,0.0046,-0.0518
52.75,-0.0380,-0.0288,-0.0089,-0.0394,-0.1027,-0.0014,0.0055,-0.0067,0.0014,-0.0576
